sampleID	lat	lon
S17-6543	45.0886	-117.1957
S17-6545	44.9348	-117.1292
S14-2006	45.18668	-113.91746
S14-2000	45.17047	-113.87647
S08-0402	44.5042	-114.2283
S08-0403	44.5042	-114.2283
S14-2040	44.97524	-116.28234
S14-2029	44.96515	-116.28655
S14-2025	44.10232	-115.99185
S14-1995	44.09865	-115.97203
S14-1994	44.08933	-115.95796
S14-1993	44.07474	-115.95109
S14-2004	43.82329	-115.82187
S14-2033	43.82096	-115.8414
S14-2016	44.07765	-111.43408
S14-2015	44.07404	-111.45939
S14-2008	42.87895	-115.79757
S08-0411	44.06	-116.41
S08-0412	44.06	-116.41
S14-2037	43.8735	-116.47563
S14-2005	43.86265	-116.52321
S14-2009	43.96606	-111.68306
S14-1996	42.88505	-115.80646
S14-1998	43.79044	-116.95158
S14-2021	43.77565	-116.9308
S14-2038	43.70789	-116.61009
S14-2010	43.70459	-116.6407
S14-2003	43.67576	-116.9113
S14-2031	43.6124	-115.25359
S14-2028	43.6091	-115.25475
S14-2013	43.60782	-115.25513
S14-2024	43.60671	-115.26061
S14-2023	43.60455	-115.26408
S14-2027	43.48326	-115.31094
S08-0410	43.34	-115.47
S14-2017	43.30114	-115.05255
S14-2018	43.29837	-115.05114
S14-1999	43.16546	-115.70222
S14-2035	43.14346	-115.72539
S14-2007	43.13935	-115.65949
S14-2011	43.04986	-114.15577
S14-2019	42.95406	-115.29622
S14-1997	42.94597	-115.46563
S14-2012	43.60649	-116.3958
S14-2020	43.51473	-116.42043
S14-2026	43.47623	-116.41812
S14-0118	43.51494	-114.80128
S14-0129	43.47786	-114.75128
S08-0401	43.3467	-114.7908
S08-0409	43.3467	-114.7908
S14-0128	43.32907	-114.71177
S14-0120	43.25195	-114.66945
S14-2014	43.04883	-114.15315
S14-2036	42.81597	-114.89774
S14-2022	42.61023	-114.21354
S14-2030	42.60083	-114.2068
S14-2002	42.60787	-114.51296
S14-2001	42.5249	-114.43992
S13-3307	41.939	-115.906
S14-0127	41.81812	-116.00616
S14-0643	41.81701	-115.97773
S13-3302	41.816	-116.074
S13-3306	41.812	-116.074
S13-3295	41.81	-116.026
S13-3310	41.809	-116.025
S13-3311	41.807	-116.023
S10-0239	41.67752768	-116.0980225
S10-0240	41.67752768	-116.0980225
S10-0238	41.67752768	-116.0980225
S13-3300	41.41944	-115.98582
S13-3305	41.41944	-115.9858
S13-3304	41.40966	-115.98622
S13-3303	41.4012	-115.94131
S13-3301	41.38537	-115.92958
S13-3315	41.30478	-115.96873
S16-2553	41.30105	-115.932
S13-3316	41.30029	-115.97104
S13-3314	41.29655	-115.97961
S11-0400	41.16	-116
S14-0641	40.83933	-115.77657
S08-0406	40.8	-115.767
S14-0125	40.73901	-115.45293
S14-0642	41.07005	-115.06906
S14-0640	41.03008	-115.1944
S13-3312	40.987	-115.209
S15-1641	41.0426	-115.08733
S15-1640	41.04229	-115.08721
S15-1639	41.04162	-115.08686
S15-1638	41.03921	-115.08582
S15-1636	41.03428	-115.09193
S15-1242	41.03335	-115.09057
S15-1635	41.0328	-115.08953
S15-1245	41.03074	-115.0832
S15-1644	41.02505	-115.08945
S15-1645	41.02505	-115.08945
S15-1643	41.02447	-115.08757
S14-0135	40.70014	-115.5248
S14-0139	40.58889	-115.63902
S14-0140	40.55712	-115.5977
S14-0137	40.55289	-115.60052
S15-1619	40.54995	-115.40380999999999
S16-3101	40.45368	-115.4622
S16-3098	40.4017	-115.52313
S16-3105	40.3382	-115.50089
S14-0645	38.95295	-116.51427
S16-2637	38.7578	-116.9249
S15-1121	38.74092	-116.92471
S15-1119	38.72461	-116.92731
S14-0832	39.97541	-114.58889
S16-3744	39.8536	-114.66039
S14-1711	39.02781984	-114.5991039
S15-2193	39.27467	-114.19089
S14-1705	38.91325	-114.30974
S14-1701	38.8805	-114.29854
S16-2644	38.95256	-114.2617
S15-2198	38.91791	-114.30562
S15-1327	38.8909	-114.29842
S15-1096	38.88637	-114.29952
S15-1097	38.885	-114.29917
S15-1328	38.8768	-114.28783
S16-3750	38.849	-114.2234
S16-3754	38.849	-114.2234
S10-0374	41.679672	-120.218314
S16-1660	40.7702	-120.34154
S16-2568	40.62443	-110.89113
S16-2569	40.62443	-110.89113
S16-2571	40.45788	-111.38008
S11-0377	40.42	-111.2
S11-0396	40.41	-111.16
S11-0402	40.41	-111.24
S11-0382	40.39	-111.26
S11-0391	40.39	-111.24
S11-0376	40.38	-111.19
S11-0378	40.38	-111.25
S11-0386	40.38	-111.2
S11-0392	40.38	-111.25
S11-0401	40.38	-111.18
S11-0385	40.37	-111.25
S11-0380	40.36	-111.22
S11-0388	40.36	-111.22
S11-0395	40.35	-111.25
S11-0387	40.34	-111.26
S11-0389	40.32	-111.25
S11-0390	40.32	-111.25
S11-0398	40.32	-111.22
S16-2562	40.30184	-111.2576
S16-2577	40.30184	-111.2576
S16-2560	40.24331	-111.17855
S16-2566	40.24331	-111.17855
S16-2573	40.24331	-111.17855
S16-2580	40.24331	-111.17855
S16-2572	40.24313	-111.14998
S16-2576	40.23602	-111.18349
S16-2581	40.23602	-111.18349
S16-2561	40.23303	-111.18931
S16-2558	40.20951	-111.2078
S16-2570	40.20951	-111.2078
S16-2574	40.18841	-111.03708
S16-2575	40.18241	-111.61149
S16-2563	40.17834	-111.15555
S11-0418	41.14921	-111.9224
S11-0420	41.14702	-111.9241
S11-0416	41.14471	-111.9236
S11-0417	41.14464	-111.9264
S11-0409	41.14407	-111.9252
S11-0408	41.14126	-111.9266
S11-0404	41.14012	-111.9331
S11-0414	41.13889	-111.9358
S11-0419	41.1369	-111.9339
S11-0415	41.132	-111.9246
S11-0422	40.355	-109.781
S11-0421	40.1794	-109.683
S11-0413	40.17332	-110.4093
S11-0405	40.1702	-110.4082
S11-0412	40.16655	-110.4137
S11-0407	40.16626	-110.41383
S11-0410	40.16379	-110.4099
S11-0411	40.15837	-110.4044
S11-0403	40.15822	-110.41335
S09-0775	40.15606667	-110.1960167
S11-0406	40.15549	-110.40077
S15-1092	38.93724	-114.02938
S15-1094	38.93724	-114.02938
S15-1338	38.93724	-114.02938
S15-0713	38.93717662	-114.0293769
S15-0714	38.93717662	-114.0293769
S15-0715	38.93717662	-114.0293769
S09-0054	38.73599474	-106.7355243
S09-0056	38.56082219	-106.9400141
S12-1179	38.55756	-106.92014
S12-1180	38.55756	-106.92014
S12-1181	38.53815	-106.94657
S19-4931	44.11814403	-110.7776788
S19-4918	44.10118165	-110.6665823
S19-4929	43.97809544	-110.657397
S19-4922	43.9089857	-110.643285
S19-4901	43.90835793	-110.6469875
S19-4919	43.90802757	-110.6478861
S19-4902	43.90448828	-110.6418175
S19-4920	43.90318717	-110.6403559
S19-4903	43.87920896	-110.5720134
S19-4913	43.87912	-110.5723003
S19-4926	43.86658274	-110.5501259
S19-4916	43.86625784	-110.5476518
S19-4915	43.8647018	-110.5390394
S19-4907	43.85683993	-110.5881253
S19-4912	43.85683993	-110.5881253
S19-4897	43.85125735	-110.5930782
S19-4896	43.84212369	-110.6126958
S19-4898	43.84212369	-110.6126958
S19-4899	43.84212369	-110.6126958
S19-4908	43.83897447	-110.6133133
S19-4927	43.83812496	-110.4948242
S19-4924	43.75819707	-110.5839329
S19-4928	43.75433372	-110.5988533
S19-4890	43.75398067	-110.6248044
S19-4925	43.72802101	-110.6499108
S19-4923	43.69907753	-110.7237591
S19-4906	43.68418397	-110.6337138
S19-4914	43.67706453	-110.7244928
S19-4905	43.66911915	-110.5985282
S19-4894	43.66886849	-110.5963839
S19-4895	43.66886849	-110.5963839
S19-4921	43.66306539	-110.6968737
S19-4900	43.6619821	-110.6924514
S19-4904	43.65785918	-110.7136051
S19-4891	43.65741279	-110.7187663
S19-4888	43.65470557	-110.7163359
S19-4889	43.65470557	-110.7163359
S19-4909	43.65470557	-110.7163359
S19-4892	43.65468765	-110.7163732
S19-4911	43.65119535	-110.7280088
S19-4917	43.54196599	-110.7356425
S19-4930	43.53876203	-110.7363125
S14-1644	44.938997	-109.543506
S14-1650	44.938997	-109.543506
S14-1655	44.938997	-109.543506
S14-1668	44.938997	-109.543506
S14-1649	44.938519	-109.614531
S14-1656	44.938519	-109.614531
S14-1661	44.938519	-109.614531
S14-1662	44.938519	-109.614531
S14-1663	44.938519	-109.614531
S14-1648	44.951352	-110.07732
S14-1646	44.918609	-110.105523
S14-1667	44.907765	-110.28312
S14-1647	44.895594	-110.254499
S14-1659	44.895594	-110.254499
S14-1669	44.895594	-110.254499
S14-1654	44.890337	-110.153813
S14-1653	44.881141	-110.171041
S14-1665	44.870676	-110.205581
S14-1645	44.688206	-109.622935
S14-1660	45.652951	-110.617172
S14-1664	45.59407	-109.2965
S14-1651	45.430905	-110.637838
S14-1657	45.296818	-108.912481
S14-1652	45.022415	-109.056277
S08-0301	40.366689	-122.2850418
S09-0268	40.34382933	-122.3546076
S09-0779	40.33557269	-122.3645264
S07-0166	40.084507	-122.229595
S09-0375	40.06759548	-122.1748781
H-1	40.02	-122.12
S08-0763	39.97659392	-122.202301
S09-0255	39.87105434	-122.1724212
S09-0256	39.87105434	-122.1724212
S09-0614	39.78942	-122.22993
S09-0357	39.57625	-122.093139
S09-0111	39.56966371	-122.0830715
S09-0392	39.55426541	-122.0840063
S09-0486	39.55365878	-122.1368551
S09-0273	39.5461913	-122.165
S09-0102	39.53396806	-122.1897697
S09-0231	39.5334964	-122.2027785
X-2B	39.36	-121.7
S09-0155	39.23251908	-121.679292
S09-0034	39.15708661	-121.7649078
S09-0761	39.14999819	-122.1644711
S09-0798	39.13866798	-122.1457373
S09-0325	39.071803	-121.88943
S09-0221	39.07046243	-121.8843734
S09-0202	38.92589956	-122.0611913
S09-0166	38.84660158	-121.7279685
S08-0085	38.81501756	-121.9364619
S08-0086	38.81501756	-121.9364619
S09-0126	38.81501756	-121.9364619
S08-0079	38.80584646	-121.7007279
S08-0026	38.74477045	-121.78496
S08-0366	38.70081308	-121.9074458
S08-0277	38.68331553	-122.0277107
S08-0112	38.6779162	-121.8393888
S07-0168	38.677	-121.83
S08-0084	38.67140938	-121.8706834
S09-0595	38.67140938	-121.8706834
S07-0056	38.67	-121.78
S08-0255	38.66405867	-121.8599867
S08-0256	38.66405867	-121.8599867
S08-0752	38.64158997	-121.7758656
S08-0003	38.57881349	-121.8405905
S09-0042	38.54310206	-121.6971521
S09-0512	38.5430692	-121.6962263
S08-0535	38.54021604	-121.6945016
S08-0248	38.53901881	-121.7126048
S08-0325	38.53878383	-121.711725
S08-0199	38.537355	-121.715386
S08-0765	38.49339704	-122.0028287
S07-0189	38.449845	-121.853452
S09-0024	38.44930922	-121.8053745
S07-0171	38.439477	-121.836475
S08-0162	38.42856357	-121.9518471
S09-0422	38.42014147	-121.9668674
S09-0498	38.42014147	-121.9668674
S09-0272	38.41949	-121.96351
S09-0282	38.41908654	-121.8162829
S09-0261	40.35314665	-122.3436159
S08-0230	38.66348063	-121.4807653
MAM2705	38.52	-121.48
MAM-2703	38.52	-121.5
MAM2706	38.5	-121.48
MAM-2704	38.5	-121.5
S10-0513	38.49805	-121.44683
MAM-1938	38.47	-121.24
S08-0241	38.45122074	-121.1818486
MAM-1937	38.41	-121.36
S09-0280	38.38688057	-121.2238741
S09-0440	38.38688057	-121.2238741
S08-0455	38.3474	-120.77312
S09-0789	38.33303321	-121.1567904
S14-0842	38.222529	-121.147442
S09-0158	38.14254497	-121.867719
S09-0279	38.1333	-121.83759
S12-0285	38.13139473	-121.8679286
S12-0286	38.13139473	-121.8679286
S07-0169	38.12186	-121.83563
S14-0843	38.056724	-121.303139
REJ-1624	37.95	-121.29
S14-2565	37.89106	-121.20319
S16-1301	38.49104	-120.83206
S15-0033	38.23501944	-120.5384528
EV37	36.965	-120.03
S13-2580	36.604	-120.579
ESRP-5954	35.53872028	-119.1861267
S14-0879	35.470732	-119.261141
ESRP-R005	35.46182	-119.03508
V01-0197	35.45896396	-118.9737184
S14-0851	35.426262	-119.127588
MAM-2793	35.40770235	-119.0127533
ESRP-R004	35.3749449	-118.986808
S14-0848	35.367738	-118.953781
ESRP-R008	35.35963939	-118.9867369
S14-0845	35.355438	-119.055748
S14-0844	35.333015	-118.99498
V02-1003	35.32282357	-119.004249
S14-0863	35.315683	-119.092355
ESRP-R009	35.30185977	-119.0237978
ESRP-R006	35.07826089	-119.0240419
ESRP-R007	35.01071291	-118.9789547
FRE	37.79	-122.46
VVBNS184	37.61	-122.13
VVBNS181	37.61	-122.13
S14-0852	37.49283	-122.004805
S14-0854	37.484657	-121.978025
S14-0838	37.434513	-122.067547
MAM3674	37.48867	-122.4573
MAM3675	37.47996	-122.44855
S14-0853	37.477101	-122.449708
S14-0857	37.473764	-122.448335
MAM3676	37.47246	-122.44838
S14-0858	37.469949	-122.447047
S14-0859	37.468309	-122.446661
MAM3678	37.4602	-122.4458
MAM3686	37.45093	-122.4446
MAM3687	37.44167	-122.44306
MAM3688	37.42858	-122.43911
VVBNS190	37.46	-122.04
S14-0861	37.44481	-122.099433
S14-0856	37.43997	-121.959872
VVBNS129	37.435	-122.068
VVBNS143	37.43	-122.072
S14-0872	37.426136	-122.059178
S14-0855	37.421499	-122.022185
S14-0880	36.886751	-121.766109
S10-0563	36.85	-121.809722
S14-0870	36.848715	-121.807051
S14-0871	36.847753	-121.808081
S14-0846	36.845825	-121.805935
S14-0847	36.844726	-121.804905
S14-0860	36.826733	-121.798639
S14-0883	36.826733	-121.798639
S10-0562	36.818275	-121.782331
S14-0876	36.817839	-121.779692
S14-0873	36.815052	-121.79143
S14-0874	36.815052	-121.79143
S14-0875	36.804607	-121.787481
VVBNS132	36.79	-121.79
VVBNS137	36.79	-121.79
MAM2748	36.79	-121.79
S14-0868	36.783983	-121.792545
S14-0840	36.783158	-121.794949
S14-0877	36.758682	-121.802158
S14-0887	36.758682	-121.802158
VVBNS146	36.75	-121.75
S14-0839	36.590437	-121.878719
S14-0862	36.228203	-121.059895
MAM2708	35.53	-120.66
MAM2795	35.48048	-120.67211
S14-0881	35.397148	-120.866261
S14-0888	35.381474	-120.863857
S14-0882	35.366077	-120.851498
MAM2736	35.35585	-120.84189
MAM2745	35.34913	-120.82953
MAM2802	35.33793	-120.81785
SB5	34.43	-119.82
SB6	34.43	-119.77
S14-0865	34.4216	-119.817924
S14-0867	34.408571	-119.752007
S14-0850	34.401773	-119.699821
S14-0866	34.401773	-119.73484
S14-0864	34.400073	-119.716301
LA1	33.75	-118.37
LA5	33.715	-118.2941
S08-0013	38.44175789	-122.7159119
S08-0019	38.24303386	-122.6293945
S08-0253	38.22791752	-122.6059279
